종목명,종목코드,현재가,전일비,등락률,거래량,거래대금,시가총액
SK이노베이션,096770,108500,하락,-0.46%,95844,10365,163873
고려아연,010130,789000,상승,+2.87%,16934,13264,157984
크래프톤,259960,328500,상승,+2.82%,52075,16868,155683
기업은행,024110,19330,하락,-0.05%,389456,7518,154142
SK,034730,191600,하락,-0.42%,81956,15695,138915
KT,030200,53700,하락,-1.29%,294956,15814,135336
LIG넥스원,079550,610000,상승,+1.16%,94392,57573,134200
카카오뱅크,323410,27075,상승,+0.65%,1449562,39033,129145
LG전자,066570,77100,상승,+0.26%,168450,12954,126172
현대글로비스,086280,168050,상승,+5.36%,279200,46366,126038
LG,003550,76800,하락,-1.03%,77661,5973,120769
SK텔레콤,017670,55700,하락,-1.07%,643790,35739,119638
삼성에스디에스,018260,154300,보합,0.00%,94212,14531,119394
포스코퓨처엠,003670,151400,상승,+0.33%,182967,27574,117279
삼성전기,009150,155100,하락,-0.32%,532741,84216,115850
하이브,352820,277000,상승,+6.95%,450586,124912,115376
효성중공업,298040,1229000,하락,-3.83%,56952,72495,114599
삼양식품,003230,1434000,상승,+0.35%,18022,25706,108023
HD현대,267250,136400,상승,+2.02%,100072,13605,107747
한화시스템,272210,57000,상승,+0.35%,540233,31047,107684
미래에셋증권,006800,18520,하락,-1.07%,2903216,54721,105623
두산,000150,607500,상승,+0.41%,44096,26615,100382
LS ELECTRIC,010120,324500,하락,-0.46%,105936,34479,97350
HD현대마린솔루션,443060,209000,상승,+1.46%,55073,11414,93693
DB손해보험,005830,129600,상승,+1.09%,106789,13809,91757
한국항공우주,047810,93500,하락,-1.68%,204045,19237,91139
유한양행,000100,112100,하락,-2.10%,238262,26784,89645
카카오페이,377300,66000,상승,+5.77%,1694892,110215,89095
대한항공,003490,23800,보합,0.00%,437283,10407,87637
포스코인터내셔널,047050,48050,하락,-0.31%,143514,6900,84531
한미반도체,042700,87600,하락,-0.90%,224185,19579,83493
에이피알,278470,216500,상승,+3.84%,969769,210249,82365
HD현대미포,010620,200000,상승,+0.86%,204277,40616,79884
현대건설,000720,70500,하락,-0.98%,785693,55049,78506
한진칼,180640,117600,상승,+0.17%,52332,6083,78512
SK바이오팜,326030,99600,하락,-1.87%,283424,28290,78000
코웨이,021240,106800,하락,-1.02%,55050,5934,76799
한국금융지주,071050,137100,하락,-3.45%,278490,39118,76400
아모레퍼시픽,090430,130200,상승,+1.09%,250874,32716,76158
S-Oil,010950,61800,하락,-0.96%,65091,4022,69576
한화,000880,89500,하락,-1.65%,182378,16427,67088
LG유플러스,032640,14500,하락,-1.23%,450007,6509,63309
삼성증권,016360,70300,하락,-0.71%,148555,10493,62778
NH투자증권,005940,19370,하락,-1.02%,311343,6088,62776
삼성카드,029780,50100,하락,-0.60%,19609,984,58045
한국타이어앤테크놀로지,161390,44550,상승,+1.14%,75117,3340,55186
LG디스플레이,034220,10955,상승,+0.05%,1081682,11896,54775
LS,006260,169200,하락,-0.59%,60697,10260,54482
두산밥캣,241560,56400,상승,+0.18%,151532,8574,54063
키움증권,039490,206500,하락,-1.20%,76370,15882,53950
넷마블,251270,61600,상승,+4.76%,380181,23062,52947
삼성E&A,028050,26750,상승,+0.75%,303118,8062,52430
한화솔루션,009830,30200,하락,-1.31%,1038666,31307,51912
LG생활건강,051900,298500,상승,+0.51%,23199,6934,46620
BNK금융지주,138930,14510,하락,-0.07%,355472,5150,46197
현대제철,004020,33675,상승,+0.22%,209862,7019,44938
GS,078930,48050,하락,-0.62%,115396,5536,44646
CJ,001040,153000,상승,+0.20%,109344,16684,44641
오리온,271560,110300,하락,-0.45%,77541,8542,43608
엔씨소프트,036570,202000,상승,+3.11%,42964,8561,43519
